county_name,county_pop2000,statename,stateabbrv,racial_segregation,inequality,poverty_rate,top_1per_income_share,frac_middleclass,unemp_rate,pop_change_80_2000,migration_inflow,migration_outflow,mean_household_income,median_house_value,percent_college_degree,crime_rate
Kiowa,3278,Kansas,KS,0,0.3064379,0.1075371,0.04721,0.64162,0.0324934,-0.1898171,0,0.006101281,34634.3,58918.6,18.9,0.0009152
Labette,22835,Kansas,KS,0.0613682,0.3092285,0.1265313,0.05815,0.6417,0.0553509,-0.1108559,0.014582877,0.016553536,30034.1,52786.8,15.9,0.0031093
Lane,2155,Kansas,KS,0,0.3506783,0.081758,0.07217,0.54717,0.0356189,-0.1282362,,,38978.42,64650.5,18.5,0.0013921
Leavenworth,68691,Kansas,KS,0.0887464,0.2779835,0.0665066,0.04365,0.57581,0.0515693,0.2532796,0.056091773,0.055800614,33853.31,129167.7,23.1,0.0026932
Lincoln,3578,Kansas,KS,0,0.2409751,0.0971904,0.06149,0.65806,0.0365044,-0.1367913,0.018725545,0.011458916,33214.24,45188.7,17.4,0.0011179
Linn,9570,Kansas,KS,0.0082644,0.3429763,0.1104158,0.08037,0.59079,0.0609116,0.1622541,0.030094044,0.029571578,33441.55,74781.3,12.7,0.0022989
Logan,3046,Kansas,KS,0,0.2171433,0.0733668,0.03567,0.73006,0.0308682,-0.1242093,0.008535785,0,36147.04,73315,17.5,0.0029023
Lyon,35935,Kansas,KS,0.1099276,0.3296482,0.1453346,0.07618,0.63245,0.0412585,0.0235559,0.016835954,0.028106303,28136.65,90510.7,23,0.0069848
McPherson,29554,Kansas,KS,0.0323602,0.2516433,0.0664541,0.05767,0.67403,0.0363505,0.1005027,0.018271638,0.021080057,36711.85,110239.1,22.2,0.0042634
Marion,13361,Kansas,KS,0.011063,0.2919125,0.0829581,0.07475,0.68984,0.0352569,-0.0119065,0.018411796,0.02215403,32702.54,69715.9,17.9,0.0016466
Marshall,10965,Kansas,KS,0.0096061,0.3643095,0.0917748,0.12905,0.63914,0.0383715,-0.1424885,0.012038304,0.010943912,35718.08,61584.6,13.2,0.0007296
Meade,4631,Kansas,KS,0.0248544,0.1901448,0.0934455,0.03252,0.74586,0.0295636,-0.0327903,0.008853379,0.00496653,35827.52,70515.7,19.6,0.0023753
Miami,28351,Kansas,KS,0.0393416,0.2868065,0.0553988,0.06535,0.63667,0.0423685,0.3114534,0.050368594,0.034390321,39762.44,141697.9,19.4,0.0027942
Mitchell,6932,Kansas,KS,0.0050642,0.2534039,0.0952091,0.04761,0.70414,0.0366223,-0.1459899,0.008799769,0.009521062,36210.69,74114.8,16.9,0.0040392
Montgomery,36252,Kansas,KS,0.0790089,0.3455246,0.1256343,0.07054,0.61461,0.0655858,-0.1425936,0.016550811,0.022426349,32377.09,59185.2,16,0.005848
Morris,6104,Kansas,KS,0.0027446,0.3717298,0.0897627,0.10702,0.5969,0.0420482,-0.0490731,0.014908257,0.01474443,38351.15,64517.2,16,0.0019659
Morton,3496,Kansas,KS,0,0.2844338,0.1050335,0.06262,0.63277,0.0284866,0.0121598,0,0.007723112,33709.1,90244.1,17.6,0.0054348
Nemaha,10717,Kansas,KS,0.0122301,0.3157872,0.0910517,0.09628,0.70599,0.0360938,-0.0440639,0.013623216,0.018568629,36966.29,77580.6,14.6,0.001492
Neosho,16997,Kansas,KS,0.0231088,0.2929316,0.1297048,0.06084,0.66156,0.0541701,-0.1038646,0.020650703,0.020121198,32447.56,59851.7,15,0.0030594
Ness,3454,Kansas,KS,0.0109055,0.2489516,0.0873181,0.05084,0.74054,0.0281933,-0.2321032,0,0.005500869,38380.91,54119.8,17.9,0.0026057
Norton,5953,Kansas,KS,0,0.2846862,0.1045411,0.05438,0.65759,0.0362714,-0.1100314,0.005207458,0.004367546,27980.41,62384.4,15.4,0.0058794
Osage,16712,Kansas,KS,0.0130978,0.2589685,0.0835366,0.04315,0.6862,0.0476351,0.0909328,0.034825275,0.029559598,34235.13,90110.8,14.3,0.003291
Osborne,4452,Kansas,KS,0,0.3994183,0.1038302,0.16017,0.6413,0.0353403,-0.2528948,0.003818509,0,36610.84,42656,15.5,0.0049416
Ottawa,6163,Kansas,KS,0.0071032,0.2124263,0.0856096,0.03637,0.73801,0.0372708,0.0321554,0.025636865,0.031315918,34400.2,78513.7,16.3,0.0011358
Pawnee,7233,Kansas,KS,0.0372966,0.262513,0.1176907,0.0417,0.68333,0.0307206,-0.1031618,0.014655053,0.01244297,32776.97,65050.4,21.8,0.0060832
Phillips,6001,Kansas,KS,0.016594,0.2765172,0.0996746,0.08128,0.69118,0.0301442,-0.189711,0,0.007332111,36217.88,64250.6,16.1,0.0026662
Pottawatomie,18209,Kansas,KS,0.009601,0.2690969,0.0974916,0.07331,0.70093,0.0393533,0.231836,0.031467955,0.031577791,34509.87,108106.3,22.7,0.0029656
